No,Code,Loc,ID,Desc,EC,TA,TW,Q,Coordx,Coordy,Coordz,SiO2,SiO4,Al,Fe,Ca,Mg,Na,K ,Li,NH3,Cl,SO4,HCO3,H2S,B,Al3+,As3+,NH4+,CO3-,F,Br,NO3,PO42-,H2S,pH,GT1,GT2,GT3,GT4,GT5,GT6,GT7,GT8,GT9,GT10,GT11,GT12,GT13,GT14,GT15,GT16,GT17,GT18,GT19,GT20,GT21,GT22,GT23,GT24,GT25,GT26,18O,D,RE,Kelompok Data
89,738,Mutufoka,,,180,,19.4,0.0045,,,,,,,,19.8,7.16,8.98,2.48,,,3.08,10.3,67.8,,,,,0.12,,0.38,,2.55,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
90,739,Mutufoka,,,175,,19.1,0.0045,,,,,,,,13.9,6.92,7.7,3.37,,,2.63,9.33,71.5,,,,,,,0.38,,2.96,0.06,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
91,740,Wae Woki,,,260,,22.1,0.0001,,,,,,,,29.8,10.4,10.7,1.69,,,4.1,1.61,118,,,,,0.24,,0.22,,2.81,,,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
92,741,Wae Lapo,,,270,,28.1,0.015,,,,,,,,28.7,9,14.8,1.5,,,7.15,5.94,123,,,,,,,0.25,,2.58,,,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
93,742,Berewekw,,,240,,27,0.0833333333,,,,,,,,25.4,9.48,12.2,2.59,,,4.17,6.6,106,,,,,,,0.15,,2.08,,,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
94,743,Radabata (Wae Ba),,,290,,20.8,0.00005,,,,,,,,29.4,8.81,13.1,16.3,,,3.15,3.5,138,,,,,0.04,,0.21,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
95,744,Nage (cold springs),,,250,,23.5,1.66666666666667E-005,,,,,,,,29.4,7.73,12.4,2.98,,,3.27,76.3,35.2,,,,,,,0.4,,0.76,,,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
96,745,Wae Aru,,,270,,23.3,0.001,,,,,,,,23.8,3.12,16.2,2.46,,,4.37,91.1,24.7,,,,,,,0.15,,0.23,,,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
97,746,Kalibatu,,,101,,16,0.007,,,,,,,,8.09,9.05,5.93,2.25,,,2.23,7.7,36.4,,,,,0.99,,0.43,,0.33,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
98,747,Mangulewa (Wae Roa),,,282,,23.2,0.1666666667,,,,,,,,26.5,5.23,10.9,3.51,,,2.78,53.2,75.7,,,,,,,0.63,,2.06,0.09,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
